country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,276,276,278,280,279,276,274,273,271,269,269,272,276,284,291,298,305,315,325,338,351,366,383,399,416,433,453,476,499,520
Angola,176,179,184,189,192,193,193,197,206,213,218,221,221,229,244,251,268,283,301,326,349,375,402,424,440,467,491,522,555,587
Albania,122,126,123,122,115,118,122,124,127,129,135,138,150,165,176,179,178,182,194,205,218,232,243,256,275,294,306,317,328,339
Andorra,22.1,23.8,25.8,27.9,28.9,29.7,30.9,32.7,34.8,36.6,38.4,39.8,41.4,44,46,47.2,48.8,50.3,51.6,52.7,53.6,49.6,48.4,48.9,49.8,51,52.5,54.5,56.8,59
United Arab Emirates,45.6,50.2,55.1,60.1,66.3,72.7,78.7,84.6,89.5,95.6,105,113,121,126,135,146,157,166,181,202,221,246,273,304,336,371,412,457,512,571
Argentina,4380,4460,4770,4840,4980,5120,5420,5760,6030,6330,6300,6530,6810,6950,6910,7110,7330,7740,7660,7740,7850,8110,8340,8460,8420,8730,9390,9800,9990,10.3k
Armenia,232,243,260,276,267,255,259,250,246,262,264,275,283,291,296,310,320,324,329,340,352,351,343,338,349,365,373,383,393,405
American Samoa,2.45,2.52,2.58,2.67,2.84,2.97,3.08,3.18,3.32,3.3,3.48,3.5,3.52,3.56,3.7,3.8,3.92,4.03,4.15,4.28,4.35,4.52,4.71,4.82,4.94,5.07,5.29,5.31,5.39,5.49
Antigua and Barbuda,3.87,3.92,4.02,4.29,4.4,4.49,4.07,4.05,4.11,4.28,4.52,4.56,4.68,4.86,5.1,5.33,5.78,7.3,7.65,7.01,7.18,7.35,7.52,7.56,7.94,8.2,8.48,8.78,9.2,9.68
Australia,5100,5230,5520,5710,6080,6190,6480,6660,6910,7040,7160,7160,7200,7080,7540,7800,7890,8320,8600,8640,8760,8710,8580,8690,9080,9500,9410,9720,10.2k,10.6k
Austria,2910,3050,3110,3210,3240,3330,3370,3360,3380,3330,3340,3270,3300,3270,3230,3170,3060,3070,3010,3140,3100,3040,3070,3120,3140,3250,3220,3260,3300,3380
Azerbaijan,364,377,403,407,407,384,367,351,339,333,327,318,325,342,361,393,428,464,510,546,582,622,653,681,706,730,758,794,813,844
Burundi,99.1,100,102,104,105,106,105,105,105,103,102,100,102,104,108,112,115,117,121,125,132,138,145,151,156,161,166,172,182,189
Belgium,3140,3190,3240,3360,3410,3490,3460,3530,3580,3710,3760,3800,3930,4010,4030,4130,4010,4040,4030,4250,4310,4380,4540,4520,4500,4590,4560,4690,4790,4920
Benin,72.6,74.9,76.5,78.7,81.6,84.3,87.4,89.3,91.7,93.5,96.6,99.2,103,106,109,112,116,120,125,131,136,143,148,153,158,162,168,176,182,190
Burkina Faso,132,134,137,141,144,147,149,152,156,156,160,160,162,168,174,182,187,191,196,203,215,224,236,250,262,274,288,303,317,328
Bangladesh,1270,1210,1240,1270,1300,1360,1390,1410,1440,1470,1540,1570,1620,1700,1760,1850,1970,2090,2180,2270,2360,2350,2360,2480,2680,2790,3000,3320,3570,3820
Bulgaria,1940,1800,1710,1570,1560,1530,1550,1630,1650,1610,1730,1840,1970,2130,2380,2640,2810,2920,2980,3080,3170,3250,3300,3340,3480,3480,3520,3540,3560,3560
Bahrain,15.7,16.8,17.7,18.4,19.4,20.7,21.9,23.3,24.5,24.9,23.8,24.6,28.3,32.3,34.9,37.4,40.5,43,46.9,52,57.7,61,63,66,72,77.6,83.5,91.7,104,116
Bahamas,19.1,18.7,18.3,19.4,20.7,21.8,22.9,23.1,24.5,26.7,27.1,28.9,28.6,29.7,31.5,32.4,34.9,36.1,38.5,40.8,43.2,44.5,45.7,46.1,48.1,50.2,51.9,53.8,56.7,59.2
Bosnia and Herzegovina,351,395,387,388,386,387,402,431,456,498,566,630,704,769,806,907,922,1010,991,1020,1040,1070,1060,1090,1100,1140,1140,1150,1180,1200
Belarus,1500,1640,1750,1950,1960,1990,2020,2090,2140,2170,1990,2100,2100,2000,1950,1970,1940,1860,1960,2020,2160,2290,2120,2190,2290,2380,2460,2580,2610,2700
Belize,3.57,3.67,3.9,4.14,4.53,5.19,6.01,7.14,8.01,8.83,9.21,8.97,8.71,8.88,9.49,9.92,10.6,11,11.4,12.1,13,13.7,14.2,14.9,16.1,17.6,18.7,19.8,21.4,22.7
Bermuda,12.6,12.5,12,12.4,12.6,12.2,12.9,12.9,13.3,14.1,14.8,14.8,15.4,16.3,17.1,18.1,19.2,19.8,20.9,22,23.3,24.1,25.1,26,27.1,27.6,28,28.9,29.9,30.9
Bolivia,128,134,140,146,151,160,169,186,200,212,228,241,255,270,282,293,309,326,342,358,378,402,424,444,443,478,540,568,605,640
Brazil,5030,5210,5520,6010,6330,6670,7170,7600,8180,8720,9260,9820,10.4k,11.1k,11.7k,12.1k,12.7k,13.3k,13.9k,14.5k,15.2k,16k,16.5k,17.1k,17.7k,18.3k,19.4k,19.7k,20.2k,21.1k
Barbados,31.4,31.8,34.2,36.6,39.1,40.3,41.7,43.7,43.9,41.9,42,42.1,46.8,50.7,54.7,55.9,58.3,58.6,60.3,58.8,61,62.5,65.1,67.8,70.3,72,74.5,77.8,83.2,91.7
Brunei,22.7,22.7,23.1,23.4,22.8,22.8,22.7,23.1,24,24.9,25.8,26.9,29.1,32.3,35,38.1,40.8,42.1,44.1,47.2,50.9,53.5,55.8,59.4,62,64.8,68.5,72.4,76.5,80.5
Bhutan,5.03,5.21,5.4,5.64,5.9,6.21,6.43,6.87,7.31,7.63,8.21,8.59,9.03,9.63,10.2,10.7,11.3,12,12.7,13.6,14.3,15,15.8,16.5,17.2,17.9,18.7,19.5,20.6,21.6
Botswana,31.6,34.8,38.4,42.4,47.3,52.7,58.4,63.6,67.9,71.7,75.3,78.1,80,80,78.9,78,79.9,79.9,81.9,84,87.7,91.7,95.5,99.8,104,108,112,118,124,131
Central African Republic,48.7,50,50.1,50.4,51,51.4,52.6,52.7,53.4,54.2,54.4,55.2,56.4,57.2,58.2,59.1,60.4,61.7,62.8,64.6,67.5,70.1,71.7,72.2,72.2,72.5,73.5,74.6,76.3,77.9
Canada,7760,7900,8120,8500,8600,8920,9090,9430,9780,10.2k,10.5k,10.8k,11.1k,11.9k,12.2k,12.6k,12.8k,13.5k,14k,14.3k,14.4k,14.4k,15.2k,15.4k,15.8k,16.1k,16.6k,17.1k,18.1k,18.6k
Switzerland,1600,1720,1780,1820,1940,2090,2090,2200,2320,2310,2430,2410,2440,2510,2520,2560,2570,2630,2620,2740,2720,2720,2730,2810,2810,2830,2820,2880,2940,3000
Chile,719,708,709,767,808,869,903,912,938,983,1010,1130,1160,1270,1350,1390,1440,1530,1610,1800,1940,2030,2160,2330,2470,2610,2650,2750,2870,2960
China,56.9k,59.6k,61.6k,64k,65.6k,68.1k,72.1k,76.7k,81.9k,87.9k,97k,107k,121k,136k,155k,169k,179k,194k,211k,230k,250k,265k,278k,288k,302k,311k,322k,341k,366k,390k
Cote d'Ivoire,224,240,259,279,297,315,329,339,350,359,367,373,380,386,391,392,395,397,400,411,424,435,450,470,485,499,506,523,554,573
Cameroon,221,231,243,256,265,274,285,299,313,323,336,347,362,380,399,419,439,452,468,487,508,532,556,581,601,620,642,668,702,730
"Congo, Dem. Rep.",539,551,557,554,556,563,574,564,564,562,558,555,549,564,568,572,580,590,615,638,667,708,751,797,843,882,930,986,1060,1120
"Congo, Rep.",67,67.7,69,70,72.4,73.9,75.3,77.1,75.2,74.9,73.3,72.1,71.7,74.1,75.8,77.6,80.6,84.2,88.2,92.4,96.3,102,109,116,122,128,135,142,151,159
Cook Is,0.7,0.73,0.75,0.77,0.79,0.8,0.82,0.84,0.86,0.89,0.93,0.92,0.93,0.94,0.95,0.97,0.98,1.01,1.03,1.06,1.11,1.16,1.21,1.24,1.29,1.35,1.42,1.47,1.53,1.58
Colombia,887,973,1010,1060,1160,1240,1360,1390,1430,1550,1630,1710,2130,2010,2120,2090,2280,2320,2490,2840,2970,2990,3140,3240,3220,3440,3610,3780,3960,4130
Comoros,8.64,8.78,9.32,9.66,10.1,10.4,10.7,10.8,10.8,10.7,11.2,11.3,11.6,11.6,11.4,12.1,12,13.2,13.8,13.7,13.8,14.5,15.2,15.8,17.3,17.8,18.4,19.1,19.5,20.1
Cape Verde,4.74,4.99,5.22,5.6,6.04,6.61,7.57,8.66,9.14,9.55,9.92,10.4,10.8,11.3,11.8,12.3,11.6,11.7,12.4,13,13.6,14.4,15.5,16.2,16.8,17.5,18.6,20.1,27.2,28.1
Costa Rica,121,128,140,141,153,166,167,179,190,220,224,243,258,287,320,311,363,344,377,389,481,476,499,541,581,636,694,713,758,780
Cuba,1080,1120,1160,1200,1220,1200,1210,1250,1280,1340,1360,1400,1400,1480,1570,1690,1690,1730,1760,1850,1940,1880,2060,2130,2250,2410,2550,2770,2880,2880
Cyprus,81.2,84.8,90.2,97.3,104,109,111,117,124,130,139,148,161,176,198,219,237,266,285,306,311,310,320,336,351,365,374,381,396,414
Czech Republic,3780,3680,3710,3750,4040,4210,4280,4410,4370,4430,4420,4070,4570,4910,4960,4970,4890,4990,5080,5090,5100,5040,4960,4900,4800,4870,4880,5030,5240,5320
Germany,25.1k,26.3k,27k,28.3k,29.5k,30.3k,31.3k,32.1k,33.2k,35.4k,38.4k,39.7k,41.5k,42.7k,43.3k,43.9k,44.1k,44.4k,44.4k,43.9k,41.7k,39.5k,38.4k,38.4k,37.4k,38.8k,38.8k,40.2k,41.6k,43.1k
Djibouti,6.66,6.92,7.28,7.84,8.07,8.73,9.28,9.78,10.6,11.1,11.6,12.2,13.1,13.9,15.4,16.6,17.6,18.8,20.1,21.3,22.9,24.3,25.9,27.5,28.7,30.6,32.5,35,38,40.6
Dominica,4.96,4.96,5.05,5.23,5.42,5.63,5.79,5.81,5.85,5.98,6.15,6.3,6.46,6.6,6.76,6.84,6.97,7.04,7.19,7.39,7.68,7.99,8.34,8.54,8.7,8.79,8.84,8.97,9.08,9.25
Denmark,1510,1530,1590,1690,1830,1860,1940,1940,1950,2070,2000,2070,2180,2240,2290,2250,2380,2450,2450,2550,2620,2550,2570,2640,2680,2670,2800,2890,2960,3020
Dominican Republic,145,147,149,158,172,186,205,225,248,274,279,290,312,337,374,410,452,481,498,515,533,558,613,670,703,741,784,806,831,857
Algeria,464,486,510,533,556,579,608,634,660,691,721,756,792,834,882,935,987,1040,1090,1140,1190,1250,1310,1370,1440,1520,1600,1700,1810,1930
Ecuador,200,226,234,243,260,270,297,311,350,376,401,450,513,559,618,678,730,785,829,837,870,936,999,1050,1080,1110,1180,1250,1310,1350
Egypt,963,985,1020,1100,1180,1200,1240,1290,1320,1400,1470,1600,1670,1750,1820,1860,1940,1960,2050,2230,2370,2560,2650,2620,2770,3110,3360,3560,3810,4040
Eritrea,33.9,34.3,36.7,39.9,44.2,50.1,52.8,55.7,57.7,60.6,63.5,66.3,72.1,75.9,79.2,81.8,84.2,86.6,88.9,90.9,92.8,95.5,99,103,106,111,116,121,128,134
Spain,9980,10.7k,11.2k,11.8k,12.3k,13.1k,13.6k,13.9k,14.8k,15.8k,15.8k,16.3k,17k,18.1k,18.6k,19.5k,19.9k,21.2k,22.2k,23.1k,24k,24.8k,25.6k,25.6k,26.2k,27.1k,27.1k,27.4k,27.5k,27.8k
Estonia,273,286,290,312,329,311,267,275,300,293,300,329,341,348,373,385,408,448,442,463,445,469,477,459,499,490,493,488,490,491
Ethiopia,841,849,864,871,869,869,861,862,870,871,862,862,876,888,908,932,954,980,1010,1050,1090,1140,1180,1250,1330,1400,1480,1560,1660,1760
Finland,848,868,908,941,946,995,1010,1040,1070,1100,1120,1150,1180,1240,1300,1350,1370,1450,1500,1550,1610,1640,1670,1740,1790,1820,1920,1970,2000,2030
Fiji,19.8,20.1,20.4,20.7,21,21.3,21.8,22.1,21.5,23.2,24.1,24.4,24.1,24.9,26,28.1,30.3,32.1,33.1,33.6,35.8,38.2,40.3,41.4,42.8,44.5,46.1,47.8,49.4,51
France,17.3k,17.7k,18.3k,18.8k,18.8k,19.1k,19.4k,19.6k,20.6k,21k,21k,21.7k,22.5k,23.3k,22.7k,23.4k,23.4k,23.8k,24.3k,25.1k,25.4k,25.5k,25.7k,26k,25.9k,27.5k,26.9k,27.7k,28.1k,28.8k
"Micronesia, Fed. Sts.",2.97,3.06,3.13,3.2,3.27,3.32,3.37,3.4,3.42,3.45,3.48,3.56,3.64,3.73,3.83,3.91,4,4.08,4.16,4.24,4.33,4.43,4.54,4.67,4.8,4.95,5.11,5.28,5.46,5.62
Gabon,45,46,47,47.6,49,51.3,52.5,52.8,53.1,52.8,54,55.3,55.7,57.1,58.3,59.7,61.8,64.4,67.1,68.6,69.5,72.3,75,77.4,79.8,82.9,86.8,91.1,95.6,99.8
United Kingdom,19.3k,19.6k,19.9k,20.7k,20.4k,21k,21k,20.9k,21.3k,21.8k,21.4k,21.6k,22k,22.7k,22.6k,22.7k,23.4k,23.7k,24.5k,24.6k,24.8k,24.7k,24.9k,26k,26k,26.9k,27.5k,28k,29.3k,29.9k
Georgia,490,496,489,450,416,373,342,346,359,367,387,404,423,442,476,473,473,483,496,503,523,548,557,543,540,569,588,598,603,606
Ghana,198,208,220,233,242,248,259,277,292,307,322,344,364,383,406,433,457,481,501,521,549,588,614,634,660,684,726,770,798,834
Guinea,94.6,97.8,102,106,112,117,122,128,134,139,142,146,151,155,160,164,170,173,177,182,187,190,195,199,204,208,212,216,223,226
Gambia,8.79,9.35,10,10.3,10.8,12.2,12.2,12.9,13.9,15.3,15.2,15.6,16.3,17.3,19.2,20.3,20.6,21.2,21.1,22.2,22.7,21.9,22.7,23.9,26,26.1,28.1,30.3,31.3,32.6
Guinea-Bissau,21.9,22.1,22.3,22.5,22.7,22.9,23.1,23.2,23.1,23.1,23,23.3,23.7,24.1,24.9,25.3,25.7,26.2,26.9,27.5,28.2,29,29.6,30.3,30.9,31.6,32.5,33.4,34.2,35.2
Equatorial Guinea,6.97,6.99,7.02,7.08,7.14,7.35,7.64,8.02,8.41,8.85,9.37,10.1,10.7,11.7,12.9,14.1,15.5,16.8,18.1,19.5,20.8,23.2,25.2,26.8,28.1,29.5,31.7,33.6,35.6,36.9
Greece,1870,2010,2190,2270,2380,2500,2600,2670,2790,3000,3080,3160,3170,3330,3470,3500,3450,3670,3620,3760,3710,3880,4020,3910,3980,4100,4110,4140,4220,4320
Grenada,6.11,6.16,6.29,6.15,6.16,6.27,6.4,6.5,6.74,7.67,8,8.32,8.67,8.95,9.35,9.43,9.58,9.86,10.2,10.4,10.8,11.1,10.9,11.3,12.1,12.7,14,15.1,15.3,15.8
Greenland,6.27,6.46,6.65,6.96,7.37,7.74,8.04,8.31,8.74,9.2,9.74,10.3,10.6,11,11.5,11.9,12.5,13,13.4,13.9,14.5,14.9,15.2,15.7,15.9,16,16.5,17,17.4,17.9
Guatemala,90.3,99.6,109,122,133,130,133,152,181,195,219,246,264,277,303,329,353,361,374,404,429,462,480,502,520,540,558,570,595,622
Guam,10.8,11.2,11.5,12.1,13.2,12.5,11.5,11.9,12.5,12.9,14.2,14.7,14.8,14.2,14.7,15.3,15.8,16.3,16.9,17.6,18.4,18.9,19.7,20.9,22,22.7,24.1,24.6,25.3,26.1
Guyana,28.8,27.8,27.6,28.8,28.6,30.3,33.1,33.7,33.7,35,38.6,38.2,39.3,38.8,39.1,38.9,38.9,39.7,41,41.8,43.7,44.9,46.7,47.6,50.2,51.5,53.6,55.9,58.3,60.2
Honduras,47.8,50,52.6,55.4,58.5,61.8,64.6,67.6,71.1,75.2,80,84.8,90,95.7,102,107,112,119,127,136,148,163,186,194,201,209,217,226,236,248
Croatia,1110,1130,1190,1240,1260,1290,1380,1480,1500,1530,1470,1480,1570,1740,1750,1900,1920,2020,2190,2210,2220,2280,2390,2340,2450,2590,2520,2550,2550,2590
Haiti,149,148,151,153,153,156,156,160,161,166,172,178,184,191,198,205,213,222,230,237,240,247,257,269,280,291,302,314,327,338
Hungary,3220,3260,3560,3700,3790,3910,3930,4080,4370,4550,4490,4510,4640,4790,4830,5010,5000,5090,5040,5190,5210,5240,5280,5190,5370,5580,5610,5720,5870,5710
Indonesia,4430,4720,5040,5350,5680,6000,6370,6770,7110,7470,7920,8360,8830,9290,9830,10.4k,11k,11.6k,12.2k,12.9k,13.6k,14.3k,15.1k,15.7k,16.4k,17.1k,18k,18.9k,19.9k,21k
India,12.4k,12.8k,12.9k,13.6k,14.3k,14.7k,15.6k,17.2k,17.8k,17.9k,18.6k,19.5k,20.2k,20.7k,20.7k,22.2k,23.3k,24.5k,25.8k,26.9k,27.9k,29.2k,30.9k,32.7k,34k,36k,38.3k,40.1k,42.9k,45.5k
Ireland,975,1000,1010,1070,1050,1090,1090,1110,1150,1190,1200,1200,1260,1260,1340,1350,1390,1450,1480,1620,1500,1610,1640,1680,1710,1750,1790,1870,1930,2010
Iran,1270,1320,1360,1450,1490,1570,1670,1720,1770,1790,1940,2130,2230,2320,2440,2640,2820,2930,3080,3260,3460,3680,3900,4180,4530,4940,5260,5530,5880,6240
Iraq,345,352,363,369,373,383,395,406,419,439,463,493,522,544,572,598,631,673,729,777,838,915,988,1060,1120,1180,1250,1340,1450,1570
Iceland,42.4,43.5,44.6,45.8,48.5,51.8,54.7,57.6,60.5,61.4,62.3,65.3,68.8,69.3,70.6,73.6,78.3,81.5,83.5,86.7,87.4,88.4,91.2,91.7,88.8,92.4,95.4,97.8,101,105
Israel,761,867,967,999,1080,1160,1190,1250,1330,1330,1420,1410,1440,1460,1480,1530,1530,1610,1630,1600,1640,1650,1670,1690,1670,1770,1770,1840,1950,2030
Italy,17.6k,18.6k,19.2k,19.8k,21k,21.6k,22.2k,23.2k,24.6k,25.3k,25.6k,26.6k,27.5k,29.5k,29.4k,30.1k,30.4k,30.8k,31.4k,31.7k,31.3k,31.6k,31.8k,31.5k,31.3k,32.7k,32.1k,32.5k,33.2k,33.7k
Jamaica,119,111,122,135,141,146,164,181,203,217,215,237,236,231,219,208,227,283,346,381,314,368,328,337,371,378,383,390,400,406
Jordan,97.7,100,106,113,121,127,131,136,141,147,150,154,163,169,184,206,231,258,282,314,351,387,425,465,507,553,605,661,726,791
Japan,40.4k,43.3k,47k,49.9k,51.2k,54.1k,54.9k,56.3k,60k,62.3k,61.9k,62.9k,64.2k,67.8k,69k,72k,72k,74.2k,76.3k,78.6k,81.5k,84.1k,85.5k,87.5k,88.9k,90k,91.4k,91k,91.9k,93.1k
Kazakhstan,1160,1100,1070,1110,1130,1140,1130,1090,1030,1000,1020,1050,1070,1120,1130,1160,1190,1220,1230,1250,1310,1360,1400,1410,1440,1490,1550,1590,1650,1660
Kenya,187,198,209,218,227,236,248,261,276,288,306,324,355,386,414,441,470,498,526,558,598,618,638,655,678,705,738,775,822,871
Kyrgyz Republic,199,200,207,222,226,215,202,194,185,175,173,170,171,170,169,172,175,176,170,165,167,174,181,188,194,200,200,212,218,227
Cambodia,206,213,220,229,239,249,258,269,282,296,312,332,352,375,402,429,455,486,517,548,582,619,656,695,738,785,835,887,948,1010
Kiribati,2.72,2.78,2.85,2.88,2.89,2.89,2.95,3.01,3.08,3.15,3.22,3.28,3.32,3.39,3.44,3.48,3.55,3.65,3.74,3.81,3.86,3.92,3.98,4.04,4.08,4.19,4.35,4.51,4.67,4.82
St. Kitts and Nevis,4.52,4.52,4.51,4.45,4.56,4.69,4.8,4.86,4.93,4.97,5.01,5.1,5.16,5.24,5.57,5.76,6.05,6.29,5.75,5.85,6.16,6.46,6.87,7.2,7.63,8.08,8.51,9.12,9.89,12.1
South Korea,2650,3080,3460,3940,4520,4890,5280,5560,5810,6130,6520,6970,7720,8630,9600,10.3k,11.1k,12.1k,13.1k,14.1k,15k,15.5k,16k,16.2k,16.6k,16.8k,17.1k,17.9k,18.7k,19.9k
Kuwait,37.5,34.5,31.2,36.1,39.8,43.6,47,60.7,62.2,73.7,75.9,73.7,81.9,85.8,92.8,106,124,133,171,166,150,157,177,197,210,236,261,285,309,334
Lao,111,115,119,123,127,132,136,140,145,149,154,161,165,171,177,183,191,198,207,215,223,231,240,252,265,279,295,311,330,350
Lebanon,172,176,184,191,196,203,213,225,238,258,276,301,330,359,390,423,461,498,537,582,626,675,722,762,790,809,825,840,859,875
Liberia,43,43.6,43.2,42.4,41.3,39,38.4,36.7,36.2,35.8,36.9,37.7,39.1,39.7,40.5,41.8,44,46.1,48.1,50.9,53.8,56.3,59,60.9,61.1,62.2,63.4,64.9,67.7,70.7
Libya,136,141,146,151,155,159,163,175,188,199,208,219,232,240,236,246,263,296,319,336,348,358,374,388,400,408,416,430,453,479
St. Lucia,5.8,5.97,6.14,6.31,6.48,6.79,7.22,7.47,7.52,7.87,8.31,8.8,9.29,9.62,10,9.99,10.2,10.8,11.4,11.8,12,12.4,13.2,14.3,15.3,16,17.7,18.6,19.5,20.3
Sri Lanka,314,303,310,315,345,380,406,446,442,453,466,469,487,524,548,585,621,660,720,734,788,856,906,925,985,1020,1070,1120,1140,1200
Lesotho,31.7,32.4,33.6,34.8,36.5,38.2,40,41.9,43.3,44.7,46.2,47.9,49.6,51,52.9,54.1,55.4,56,56.7,57.7,59.4,61.2,63.4,65.7,68,69.8,70.7,72,73.7,75.6
Lithuania,534,565,568,641,660,649,628,614,641,653,684,739,738,745,759,822,850,896,874,839,876,875,888,912,896,921,926,843,861,851
Luxembourg,121,124,125,130,136,143,145,147,154,154,161,162,172,181,190,186,188,186,187,189,190,188,191,192,191,188,186,193,199,207
Latvia,386,396,411,464,504,458,390,386,418,415,419,455,469,465,479,526,559,574,559,549,555,545,557,565,568,556,521,524,532,537
Morocco,448,472,506,535,545,560,576,596,618,643,644,658,666,705,732,763,801,840,881,925,973,1030,1090,1240,1300,1370,1450,1540,1640,1740
Monaco,16.8,17.2,17.8,18.3,18.9,19.4,19.9,20.8,21.7,22.8,23.8,24.6,25.4,26.2,26.9,27.4,27.9,28.4,29,29.5,29.8,30.1,30.4,31.1,31.5,31.9,32.2,32.5,32.9,33.2
Moldova,552,572,536,538,610,605,538,474,450,474,487,490,519,549,595,677,694,742,777,822,884,824,863,864,949,1040,1040,985,979,968
Madagascar,184,184,182,189,184,191,194,196,202,202,203,209,217,228,234,241,243,245,255,263,271,280,290,300,311,323,338,355,374,392
