ID_REF	GSM877126	GSM877127	GSM877128	GSM877129	GSM877130	GSM877131	GSM877132	GSM877133	GSM877134	GSM877135	GSM877136	GSM877137	GSM877138	GSM877139	GSM877140	GSM877141	GSM877142	GSM877143	GSM877144	GSM877145	GSM877146	GSM877147	GSM877148	GSM877149	GSM877150	GSM877151	GSM877152	GSM877153	GSM877154	GSM877155	GSM877156	GSM877157	GSM877158	GSM877159	GSM877160	GSM877161	GSM877162	GSM877163	GSM877164	GSM877165	GSM877166	GSM877167	GSM877168	GSM877169	GSM877170	GSM877171	GSM877173	GSM877174	GSM877175	GSM877176	GSM877177	GSM877178	GSM877179	GSM877180	GSM877181	GSM877182	GSM877183	GSM877184	GSM877185	GSM877186	GSM877187	GSM877188
117_at	6.029833802	6.344321157	5.023127009	4.612726851	5.865943686	6.863883765	5.430315981	4.28518297	4.903301665	6.530134279	4.84746448	5.05146847	7.006106468	4.943510494	5.259366639	5.253321472	6.004251597	6.468003831	7.356290207	5.174154558	6.420283147	8.402295142	5.177594503	5.368953381	4.908442257	5.774105974	7.48010369	10.36814641	5.56820963	6.631461531	5.695817374	5.350095533	5.357527836	6.278338957	6.210460566	4.636176426	7.473647351	4.660150767	4.650539245	5.774616649	4.664240457	5.142558383	5.095383261	4.952004623	5.290425146	4.472216787	5.618307369	4.719674959	4.792020143	4.981114705	5.477543951	4.540863271	5.111097446	4.894900643	6.660386083	5.407187991	7.228848428	4.835558154	5.69400995	8.661629474	5.702600743	4.500367547
1007_s_at	9.468893461	9.99420409	10.40982278	10.59692074	10.2525474	9.671753807	10.86327629	9.788300325	10.55175033	10.16512148	9.930100382	10.15911299	10.0333551	10.38070708	10.18469377	10.15229877	7.754543586	10.21487247	10.98423886	10.74018517	10.22593539	9.754302384	9.864075564	10.85562247	10.37654332	9.619083175	10.71454271	10.76168723	10.44676512	9.598944281	9.84180985	10.84505506	9.95637626	10.25634682	10.28893222	10.06461614	9.655227021	10.91175265	10.17223658	10.29796029	10.15623098	10.11038233	10.14473999	10.13690866	10.4304516	10.61071348	10.40140927	10.52547101	10.70408484	10.05038403	10.92550768	10.0032108	10.08464943	10.35384935	10.58412553	10.58595318	9.579042091	10.34358114	9.409748518	10.42729796	10.30909385	10.99695612
1053_at	7.187089926	7.705625739	7.934056779	7.446374487	7.141104523	7.04053486	7.767727627	8.035920802	7.869726869	7.615570022	7.454195247	7.384296234	8.553709234	7.989153604	7.983528198	8.271041309	6.795014066	7.450275509	8.810033974	6.589284913	7.50515225	8.191826065	7.692261102	7.429581469	8.104784287	7.137098779	7.301465926	7.237572376	7.385270103	7.207715427	7.495638007	7.256634361	7.165365449	7.88920267	7.650817166	7.701011939	7.432906812	7.751054435	7.656275373	7.067799718	7.726520406	7.522912573	7.066782537	7.655282392	7.590083709	6.754313944	6.968878473	7.857569451	7.718933221	7.79465076	7.569905315	7.347620407	6.119306158	7.320402532	7.326723979	7.776102588	8.273183589	7.471583541	7.488734643	7.512632209	7.476872373	7.453162211
121_at	6.807581938	6.893129732	7.165601643	7.071417335	7.103383078	7.504727491	7.067673637	7.259019192	7.46284642	7.47684663	7.424081146	7.443270267	7.730507763	7.447967928	7.767613259	7.369269447	7.01467506	7.205785517	7.036289589	7.205924111	7.113644144	8.588304013	7.392045298	7.617338851	7.249636743	7.588875696	7.589869353	7.683509402	7.875052602	6.79858561	7.017373468	7.275097808	7.120540325	7.215903482	7.109702316	7.412850939	7.036744022	7.196730485	7.188261663	7.717166445	7.917791201	6.935763161	7.614485218	7.302707952	7.478550655	7.512880956	6.896912599	7.598264867	7.096595959	7.226638494	7.037813087	7.744415338	7.267976325	7.556417448	6.950900826	6.898352954	7.24027556	7.920226919	6.699795779	7.046388967	7.349701416	8.031971986
1255_g_at	3.08459126	3.118704497	2.984632353	2.912850716	3.383726341	2.772535084	3.037304104	2.986420339	3.066619031	2.971537064	2.816634677	2.904776616	2.953687858	2.796797207	3.101163364	2.936223348	3.242700791	2.969754909	2.976087991	3.089612316	2.950536289	3.093166634	3.155704023	2.806713164	2.927889204	2.866228147	3.072179146	2.837354304	2.99201935	3.30384014	2.822985429	2.745668855	3.041147951	2.911203244	2.958670393	3.186199459	3.022327357	2.796841354	2.795757113	3.572938094	3.028880941	3.377149928	2.909991934	2.915706118	2.864656797	3.010146933	2.885945885	2.770340613	2.784996453	3.370863298	2.948369699	3.04948042	2.741115909	3.054084411	3.186402003	2.881039076	2.754189727	2.888331013	3.201510968	2.650722555	2.858642364	2.787537256
1294_at	7.397013113	7.163796874	7.375223535	7.596233211	7.278244248	7.396618791	6.399178069	7.285007315	6.982732751	7.682609957	6.609175057	6.961102303	7.18368235	6.972806448	7.057860899	7.19703882	7.833150117	7.17266668	6.49037009	7.646630708	7.187298339	6.654735046	7.261322119	6.194275005	6.6747316	7.55944745	7.280061836	8.969693256	6.835082494	7.240092135	7.116495895	7.31267298	7.428057124	7.879579146	6.864287831	7.510427143	8.279300918	8.617637906	7.223524982	6.694060757	7.568330395	7.412063446	7.199825477	8.122574714	7.023165568	7.829368016	7.777051343	7.291788463	7.30173098	7.205588639	6.599591291	7.733357975	8.101273619	7.085376676	7.001797862	7.106120589	7.089104336	7.628248999	7.192813882	5.992823748	6.878941158	7.744197229
1316_at	6.525425533	6.391194868	5.538845656	5.989148388	5.678236434	6.466417561	5.777788882	5.608286186	5.781327186	6.450320056	6.455841741	6.14216329	6.29409671	5.738548652	5.41419593	5.993539788	5.453136551	6.34514505	5.818890658	6.622151482	6.178596619	5.754419518	5.788301631	6.178632623	6.16821335	6.324970229	5.391814879	6.081014022	6.140050897	5.614010378	6.22024275	5.940896296	5.491983139	5.665527669	6.324255493	5.766114506	5.344901749	6.329995497	6.056509476	6.13271464	5.622041755	5.804308379	6.600027651	5.967239116	6.490510586	6.216811655	6.428760947	6.529260604	5.73971146	5.987415395	6.16653154	5.614619466	5.658214496	6.288487483	5.989285446	5.791258034	5.436388709	6.061266447	5.928450853	5.285013754	6.137370759	5.793138866
1320_at	3.848252621	4.202085185	4.074462052	3.738205424	4.141955059	3.858940666	3.499040646	4.121144942	3.784000424	3.681186459	3.814794393	3.586662546	3.985673792	3.587232084	3.876753662	3.754870267	3.913796091	3.72001072	4.257569831	4.045690365	3.688795663	4.062427229	3.961590635	3.650067925	3.896252602	3.844588363	3.923898058	4.140208435	3.735253627	4.039479708	3.844772589	3.765222538	3.772277344	4.021006244	3.682954746	3.829779862	4.308143352	3.700910951	4.332709426	3.858563845	3.85526062	3.791203642	3.892369658	3.846036676	3.928574105	4.049241867	3.675191933	4.091679302	4.002761214	3.819068346	3.868557468	4.190359976	3.979695458	3.706718587	3.78349531	4.019103644	3.879502253	3.728706545	3.675157013	4.047409358	3.86387816	3.628731608
1405_i_at	7.572331287	8.295322316	7.055578643	9.683805685	7.36089179	8.292894552	7.328514695	5.955145285	6.687646285	8.690705279	5.060368431	7.515161469	9.058086493	7.266436786	9.316733574	8.939945528	10.77456161	8.98836682	8.685800003	7.06484657	9.066562306	9.128890342	8.161785838	5.763276636	5.01675664	9.402994472	8.060242205	10.46185596	7.569298747	8.528819004	7.196441353	6.27910704	8.272294061	10.31328725	7.008021328	5.469601619	10.05717268	5.967222996	7.110382793	6.733462235	4.685060499	7.795641629	8.159220698	7.828438993	7.42160577	7.263656462	8.638077449	6.970991687	8.344025025	7.245033139	5.788071243	9.033464337	9.140686612	7.278797463	8.220870705	7.345633798	7.733339728	7.830382152	7.271916712	5.335867439	8.280592132	6.951344951
1431_at	3.748199732	3.114339516	4.172269782	3.625412782	3.338310524	3.502789673	3.391375962	3.379516603	3.349103144	3.452052897	3.279839051	3.586600895	3.308840067	3.32989823	4.758089876	3.710753742	3.419892155	3.476634044	3.416976625	3.221278324	3.305808734	3.451668945	3.290177147	3.356050362	3.288930893	3.215769617	3.399338879	3.418024603	3.560198979	3.260471425	3.315586358	3.635533967	3.362652078	4.391883588	3.309606201	3.408080918	4.080033824	3.294818426	3.461172004	3.327047332	3.376069719	3.56752368	3.921606501	3.377165513	3.207520761	3.40941523	3.414836451	3.569752933	3.420608418	3.161110488	3.549940382	3.417822316	3.221387622	3.696020067	3.271604356	3.466989351	3.379104017	3.161022547	3.392470964	3.381973649	3.222998371	3.243737854
